Pedido;Data;Cliente;Produto;Qtd;Valor (R$)
46;18/06/2026;Cliente 23;OLEO PARA BARBA 25M - QOD;1;36.9
46;18/06/2026;Cliente 23;BALSAMO DE BARBA - QOD;1;36.9
45;13/06/2026;Cliente 11;PASTAS ORANGE 80G - FOX FOR MEN;1;30
43;13/06/2026;Cliente 02;ESCOVA DE DISFARCE BARBER PRO EM MADEIRA;1;25
43;13/06/2026;Cliente 02;ESCOVINHA DE DISFARCE ANNIE MODELO 2073 ORIGINAL;1;25
42;13/06/2026;Cliente 26;LOCAO POS BARBA SPICE WHISKY 100ML - QOD;1;39.9
44;12/06/2026;Cliente 24;LOCAO POS BARBA SPICE WHISKY 100ML - QOD;1;39.9
44;12/06/2026;Cliente 24;AFTER SHAVE 100G - LOCAO POS BARBA - QOD;1;36.9
44;12/06/2026;Cliente 24;CAFE VERDE SHAMPOO 220ML - QOD;1;25.9
41;11/06/2026;Cliente 10;KIT SHAMPOO WHISKY 220ML + CARTEIRA - QOD;1;55
40;11/06/2026;Cliente 01;ANTICASPA SHAMPOO 220ML - QOD;1;25.9
39;07/06/2026;Cliente 23;MINOXDILL KIRKLAND;1;75
39;07/06/2026;Cliente 23;LEAVE IN 3 EM 1 250ML - CLASSE A;1;30
38;05/06/2026;Cliente 07;MINOXDILL KIRKLAND;1;75
37;04/06/2026;Cliente 19;WHISKY SHAMPOO 220ML - QOD;1;25.9
37;04/06/2026;Cliente 19;BALM 120ML - FOX FOR MEN;1;32.4
36;02/06/2026;Cliente 04;PASTAS ORANGE 80G - FOX FOR MEN;1;30
35;31/05/2026;Cliente 18;LOCAO POS BARBA SPICE WHISKY 100ML - QOD;1;39.9
34;31/05/2026;Cliente 15;ESFOLIANTE FACIAL PRE BARBA 120G - FOX FOR MEN;1;39.5
34;31/05/2026;Cliente 15;MINOXDILL KIRKLAND;1;75
34;31/05/2026;Cliente 15;PASTAS ORANGE 80G - FOX FOR MEN;1;30
33;29/05/2026;Cliente 08;ESFOLIANTE FACIAL PRE BARBA 120G - FOX FOR MEN;1;39.5
33;29/05/2026;Cliente 08;MINOXDILL KIRKLAND;1;75
32;28/05/2026;Cliente 17;BALM 120ML - FOX FOR MEN;1;30
32;28/05/2026;Cliente 17;SHAMPOO PARA BARBA 120ML - FOX FOR MEN;1;50
32;28/05/2026;Cliente 17;OLEO PARA BARBA SPRAY 60ML - FOX FOR MEN;1;50
31;23/05/2026;Cliente 14;OLEO PARA BARBA - FOX FOR MEN;1;28.5
30;20/05/2026;Cliente 20;BALSAMO DE BARBA - QOD;1;36.9
13;14/05/2026;Cliente 09;KIT SHAMPOO WHISKY 220ML + CARTEIRA - QOD;1;55
14;14/05/2026;Cliente 22;KILLER POMADA 70G - QOD;1;39.9
12;13/05/2026;Cliente 23;SILVER BOOST SHAMPOO 220ML - QOD;1;25.9
12;13/05/2026;Cliente 23;OLEO PARA BARBA 25M - QOD;1;36.9
12;13/05/2026;Cliente 23;BALSAMO FORTALECEDOR DE BARBA 100G - QOD;1;36.9
10;12/05/2026;Cliente 12;KIT AFTER SHAVE 100G + CREME DE BARBEAR - QOD;1;49.9
10;12/05/2026;Cliente 12;OLEO PARA BARBA 25M - QOD;1;36.9
10;12/05/2026;Cliente 12;OLEO PARA BARBA 25M - QOD;1;36.9
11;12/05/2026;Cliente 21;LOCAO POS BARBA VANILLA RUM 100ML - QOD;1;39.9
11;12/05/2026;Cliente 21;SPRAY FIXADOR DE FIBRA CAPILAR FIBERFIX 120ML;1;35.07
9;11/05/2026;Cliente 16;KIT SHAMPOO WHISKY 220ML + CARTEIRA - QOD;1;55
8;07/05/2026;Cliente 13;SHAMPOO ESCURECEDOR DE CABELOS 250ML - DOM PELOS;1;29
7;06/05/2026;Cliente 25;CERA HAIR CARAMELO 80G - FOX FOR MEN;1;30
5;05/05/2026;Cliente 05;ESCOVINHA DE DISFARCE ANNIE MODELO 2073 ORIGINAL;1;25
6;05/05/2026;Cliente 03;BALM 120ML - FOX FOR MEN;1;54.25
6;05/05/2026;Cliente 03;SHAMPOO PARA BARBA 120ML - FOX FOR MEN;1;39.5
6;05/05/2026;Cliente 03;OLEO PARA BARBA SPRAY 60ML - FOX FOR MEN;1;46.5
6;05/05/2026;Cliente 03;PENTE DE MADEIRA BAMBU MEIA LUA 9,5 - PARA BARBA E BIGODE;1;15
3;30/04/2026;Cliente 01;MAQUIAGEM CAPILAR PRETO 25g - FOX FOR MEN;1;60
3;30/04/2026;Cliente 01;APLICADOR DE FIBRA CAPILAR - FOX FOR MEN;1;36.98
3;30/04/2026;Cliente 01;SPRAY FIXADOR DE FIBRA CAPILAR FIBERFIX 120ML;2;35.07
4;30/04/2026;Cliente 07;APLICADOR DE FIBRA CAPILAR - FOX FOR MEN;1;36.98
4;30/04/2026;Cliente 07;MAQUIAGEM CAPILAR PRETO 25g - FOX FOR MEN;1;60
4;30/04/2026;Cliente 07;SPRAY FIXADOR DE FIBRA CAPILAR FIBERFIX 120ML;1;35.07
2;29/04/2026;Cliente 06;PASTAS ORANGE 80G - FOX FOR MEN;1;30
